time,L_evals,NL_iter,TotalEnergy,dt,nodes,numDOFs,dfdt
0,0,0,0,0,0,0,0
0.1202656432,323,3,4166.0561401374,0.0147745544,12432,142134,0
0.3153900391,669,3,3716.2335073778,0.0240661923,13606,156612,-0.0576328027
0.6332271191,1031,3,3564.6861031245,0.0392012914,14711,169938,-0.0119202112
1,1355,3,3485.5708647076,0.0316367728,14902,172452,-0.0053926587
1.113078315,1441,3,3464.1407944847,0.0579181614,14943,173004,-0.0047378824
1.8779911449,1909,3,3327.9917749838,0.0943425818,16130,187146,-0.0044498214
3.1239535435,2466,4,3110.8786413408,0.1536741246,17954,208782,-0.004356334
4.7959856472,3171,3,2821.4159902655,0.1778970085,19653,228948,-0.0043280068
5,3286,3,2786.9571892764,0.0172224938,20607,240486,-0.0042225952
6.5508394089,3900,4,2537.5289633387,0.2059380245,21070,245982,-0.0040208584
8.6931097085,4710,4,2234.5216342842,0.227046672,22540,263352,-0.0035360539
10,5375,4,2067.636857921,0.1716569315,22295,260082,-0.0031924022
10.908186688,5771,4,1959.6178651932,0.227046672,22004,256608,-0.0029734799
13.2848544887,6664,4,1720.6428594166,0.2628349037,22923,267504,-0.0025137611
16.130140884,7580,4,1501.5656915668,0.3042642554,23498,273816,-0.0019249131
19.4079036409,8510,3,1326.5765647587,0.3522239086,24014,279252,-0.0013346689
20,8684,3,1302.583617357,0.2222612551,24314,282600,-0.0010130508
23.3514596972,9441,4,1202.3491813934,0.4720137244,24399,282786,-0.0007476924
29.2883975985,10449,3,1120.0273366615,0.7322482091,26939,313974,-0.0003466511
36.9770037937,12054,4,1083.1629411358,0.7688606195,26093,303714,-0.000119867
44.6656099889,13696,4,1065.1688036029,0.7688606195,21349,247584,-5.8509101247243E-05
48.3176979316,20200,4,1050.5085235391,0.1922151549,18627,214278,-0.0001003555
50,21033,3,1039.2295665322,0.1445808294,18652,214590,-0.0001676119
50.1922151549,21102,3,1038.1879090211,0.1922151549,18658,214644,-0.0001354807
52.7307597947,21875,3,1026.4146111853,0.313098233,18714,215466,-0.0001159453
56.0182912409,23010,4,1012.6746370903,0.3287531446,18712,215508,-0.0001044855
58.0939564077,29386,4,999.2242038418,0.0906125855,18176,208998,-0.0001620015
59.1035626011,29962,3,989.2654401053,0.1214295308,18308,210654,-0.0002466002
60.7072565696,30587,3,985.5216049869,0.1977959102,18646,214824,-5.83626800403168E-05
63.3195050577,31330,3,980.987412121,0.3221886954,18697,215490,-4.33935830228605E-05
67.5745825839,32236,3,974.7135993031,0.5248114347,18595,214212,-3.68607433080463E-05
73.7467783453,33583,4,966.7504526706,0.637911579,18427,212214,-3.22541075340812E-05
80.1258941352,35043,4,958.8062389617,0.637911579,18239,210024,-3.11336789084537E-05
86.5050099251,36459,4,950.2484236853,0.637911579,17916,206232,-3.35384070393249E-05
92.884125715,37892,5,938.2343366616,0.637911579,17477,200970,-4.7083668879089E-05
95.0830268625,38931,3,922.4202426615,0.0439560947,16882,193674,-0.0001797954
95.6635456502,39361,3,920.2300779006,0.0715998465,17117,196524,-9.43192885067731E-05
96.6091495843,39871,3,918.7809903794,0.1166286053,17521,201468,-3.83111646691775E-05
98.1494387515,40480,3,917.434359674,0.1899757085,17886,206034,-2.18567840062866E-05
100,41043,3,916.2819854311,0.2264382328,18200,209844,-1.5567901951769E-05
100.5479955444,41191,3,915.9840384929,0.2806806447,18222,210120,-1.35925803253774E-05
104.2548850798,42020,3,914.182490857,0.457199194,18226,210198,-0.00001215
110.2930175259,43025,3,911.5586779022,0.7447293105,18201,209886,-1.08635119313327E-05
120.1284990232,44315,3,907.6597389646,1.2130855723,18128,208998,-9.91039162305411E-06
136.1494619858,45872,3,901.7101766098,1.9759885705,17446,200694,-0.000009284
157.2085601759,48205,4,893.7866404023,2.178527399,17519,201672,-9.40630996644923E-06
178.9938341656,50631,4,884.7208828556,2.178527399,17481,201174,-1.04035385909952E-05
200,53048,4,873.2440701241,1.3994192437,17426,200520,-1.36588619049889E-05
216.883587342,55500,4,856.3570238599,0.5446318497,16355,187632,-2.50051217229193E-05
