tstep,R^2(simulation),R^2(analytic),Ratio
0,418.527,418.527,1
1,418.114,418.127,0.999969
51,399.267,398.127,1.00286
101,380.627,378.127,1.00661
151,361.986,358.127,1.01078
201,343.312,338.127,1.01534
251,324.644,318.127,1.02049
301,305.997,298.127,1.0264
351,287.336,278.127,1.03311
401,268.631,258.127,1.04069
451,249.973,238.127,1.04975
501,231.278,218.127,1.06029
551,212.601,198.127,1.07305
601,193.915,178.127,1.08864
651,175.19,158.127,1.10791
701,156.486,138.127,1.13291
751,137.756,118.127,1.16618
801,119.005,98.1266,1.21277
851,100.227,78.1266,1.28288
901,81.4208,58.1266,1.40075
951,62.5597,38.1266,1.64084
1001,43.6199,18.1266,2.4064
