step,time_s,R_num_m,R_analytic_m,rel_error
0,0.000000e+00,1.204107e-04,1.204000e-04,8.864446e-05
25,2.500000e-03,1.203709e-04,1.203585e-04,1.036042e-04
50,5.000000e-03,1.203319e-04,1.203169e-04,1.246436e-04
75,7.500000e-03,1.202929e-04,1.202754e-04,1.456496e-04
100,1.000000e-02,1.202538e-04,1.202338e-04,1.665509e-04
125,1.250000e-02,1.202147e-04,1.201922e-04,1.873398e-04
150,1.500000e-02,1.201756e-04,1.201506e-04,2.080118e-04
175,1.750000e-02,1.201364e-04,1.201090e-04,2.285614e-04
200,2.000000e-02,1.200972e-04,1.200673e-04,2.489809e-04
225,2.250000e-02,1.200580e-04,1.200257e-04,2.692605e-04
250,2.500000e-02,1.200187e-04,1.199840e-04,2.893917e-04
275,2.750000e-02,1.199794e-04,1.199423e-04,3.093795e-04
300,3.000000e-02,1.199401e-04,1.199006e-04,3.292717e-04
325,3.250000e-02,1.199008e-04,1.198589e-04,3.492087e-04
350,3.500000e-02,1.198615e-04,1.198172e-04,3.694454e-04
375,3.750000e-02,1.198222e-04,1.197755e-04,3.902384e-04
400,4.000000e-02,1.197830e-04,1.197337e-04,4.116660e-04
425,4.250000e-02,1.197438e-04,1.196919e-04,4.336217e-04
450,4.500000e-02,1.197047e-04,1.196502e-04,4.559346e-04
475,4.750000e-02,1.196656e-04,1.196084e-04,4.784523e-04
500,5.000000e-02,1.196265e-04,1.195666e-04,5.010634e-04
