time,free_energy,total_c
0,319.096851046,20100.9149909
5,316.395130091,20100.9149909
10,297.76213701,20100.9149909
15,243.334772883,20100.9149909
20,209.362153367,20100.9149909
25,200.328045094,20100.9149909
30,193.135144787,20100.9149909
35,185.804839838,20100.9149909
40,177.875188591,20100.9149909
45,170.473557758,20100.9149909
50,164.530126322,20100.9149909
55,159.492600668,20100.9149909
60,155.07651675,20100.9149909
65,151.205626085,20100.9149909
70,147.833231638,20100.9149909
75,144.906844765,20100.9149909
80,142.365782264,20100.9149909
85,140.135698956,20100.9149909
90,138.138227821,20100.9149909
95,136.341353936,20100.9149909
99.9999999999,134.704508931,20100.9149909
105,133.217801548,20100.9149909
110,131.861385796,20100.9149909
115,130.599318444,20100.9149909
120,129.418879832,20100.9149909
125,128.319305835,20100.9149909
130,127.286073428,20100.9149909
135,126.304210255,20100.9149909
140,125.363310128,20100.9149909
145,124.45682055,20100.9149909
150,123.580604364,20100.9149909
155,122.731906183,20100.9149909
160,121.908782718,20100.9149909
165,121.109781745,20100.9149909
170,120.333715158,20100.9149909
175,119.579580413,20100.9149909
180,118.846469994,20100.9149909
185,118.133582977,20100.9149909
190,117.440189005,20100.9149909
195,116.765589831,20100.9149909
200,116.10916983,20100.9149909
205,115.470387161,20100.9149909
210,114.848781099,20100.9149909
215,114.243942271,20100.9149909
220,113.655544246,20100.9149909
225,113.083353056,20100.9149909
230,112.527152779,20100.9149909
235,111.986757333,20100.9149909
240,111.461975818,20100.9149909
245,110.952599608,20100.9149909
250,110.458407039,20100.9149909
255,109.979107274,20100.9149909
260.000000001,109.51435841,20100.9149909
265.000000001,109.063781878,20100.9149909
270.000000001,108.626941561,20100.9149909
275.000000001,108.203375801,20100.9149909
280.000000001,107.792616371,20100.9149909
285.000000001,107.394180023,20100.9149909
290.000000001,107.007583414,20100.9149909
295.000000001,106.632349382,20100.9149909
300.000000001,106.267998128,20100.9149909
305.000000001,105.914061513,20100.9149909
310.000000001,105.570101575,20100.9149909
315.000000001,105.235698679,20100.9149909
320.000000001,104.910432327,20100.9149909
325.000000001,104.593887881,20100.9149909
330.000000001,104.285674046,20100.9149909
335.000000001,103.985422772,20100.9149909
340.000000001,103.692778388,20100.9149909
345.000000001,103.407394147,20100.9149909
350.000000001,103.128933374,20100.9149909
355.000000001,102.857070232,20100.9149909
360.000000001,102.59149409,20100.9149909
365.000000001,102.331912038,20100.9149909
370.000000001,102.078042859,20100.9149909
375.000000001,101.829613183,20100.9149909
380.000000001,101.586364034,20100.9149909
385.000000001,101.34805554,20100.9149909
390.000000001,101.114460626,20100.9149909
395.000000001,100.885358144,20100.9149909
400.000000001,100.660534785,20100.9149909
405.000000001,100.439789399,20100.9149909
410.000000001,100.222932462,20100.9149909
415.000000001,100.009784012,20100.9149909
420.000000001,99.800174542,20100.9149909
425.000000001,99.5939462757,20100.9149909
430.000000001,99.3909514013,20100.9149909
435.000000001,99.1910491907,20100.9149909
440.000000001,98.9941054062,20100.9149909
445.000000001,98.7999933529,20100.9149909
450.000000001,98.608593726,20100.9149909
455.000000001,98.4197928612,20100.9149909
460.000000001,98.2334816019,20100.9149909
465.000000001,98.0495560074,20100.9149909
470.000000002,97.8679185853,20100.9149909
475.000000002,97.6884782999,20100.9149909
480.000000002,97.5111493878,20100.9149909
485.000000002,97.3358503604,20100.9149909
490.000000002,97.1625039381,20100.9149909
495.000000002,96.9910372489,20100.9149909
500.000000002,96.821381302,20100.9149909
505.000000002,96.6534697721,20100.9149909
510.000000002,96.4872381297,20100.9149909
515.000000002,96.3226239607,20100.9149909
520.000000002,96.1595681776,20100.9149909
525.000000001,95.9980159551,20100.9149909
530.000000001,95.8379164649,20100.9149909
535.000000001,95.6792215445,20100.9149909
540.000000001,95.5218843145,20100.9149909
545.000000001,95.3658587244,20100.9149909
550.000000001,95.2111001699,20100.9149909
555.000000001,95.0575664522,20100.9149909
560.000000001,94.9052181374,20100.9149909
565,94.7540179231,20100.9149909
570,94.6039294414,20100.9149909
575,94.4549163813,20100.9149909
580,94.3069425868,20100.9149909
585,94.159973091,20100.9149909
590,94.0139754031,20100.9149909
595,93.8689201922,20100.9149909
600,93.724780907,20100.9149909
605,93.5815325218,20100.9149909
609.999999999,93.4391501011,20100.9149909
614.999999999,93.2976079264,20100.9149909
619.999999999,93.1568795487,20100.9149909
624.999999999,93.016938591,20100.9149909
629.999999999,92.8777597615,20100.9149909
634.999999999,92.7393195225,20100.9149909
639.999999999,92.6015961514,20100.9149909
644.999999999,92.4645693132,20100.9149909
649.999999998,92.32821949,20100.9149909
654.999999998,92.1925275966,20100.9149909
659.999999998,92.0574749041,20100.9149909
664.999999998,91.9230431672,20100.9149909
669.999999998,91.7892147546,20100.9149909
674.999999998,91.6559726455,20100.9149909
679.999999998,91.5233003021,20100.9149909
684.999999998,91.391181535,20100.9149909
689.999999998,91.2596004692,20100.9149909
694.999999997,91.1285416258,20100.9149909
699.999999997,90.9979900368,20100.9149909
704.999999997,90.8679312874,20100.9149909
709.999999997,90.7383514515,20100.9149909
714.999999997,90.6092369933,20100.9149909
719.999999997,90.4805747592,20100.9149909
724.999999997,90.3523521228,20100.9149909
729.999999997,90.2245572152,20100.9149909
734.999999996,90.0971790643,20100.9149909
739.999999996,89.9702074785,20100.9149909
744.999999996,89.8436326486,20100.9149909
749.999999996,89.7174446342,20100.9149909
754.999999996,89.59163301,20100.9149909
759.999999996,89.4661868943,20100.9149909
764.999999996,89.3410953777,20100.9149909
769.999999996,89.216348134,20100.9149909
774.999999995,89.0919358818,20100.9149909
779.999999995,88.9678504396,20100.9149909
784.999999995,88.8440843485,20100.9149909
789.999999995,88.720630286,20100.9149909
794.999999995,88.5974806061,20100.9149909
799.999999995,88.4746272475,20100.9149909
804.999999995,88.3520620194,20100.9149909
809.999999995,88.2297770503,20100.9149909
814.999999995,88.10776511,20100.9149909
819.999999994,87.986019628,20100.9149909
824.999999994,87.8645344477,20100.9149909
829.999999994,87.7433035206,20100.9149909
834.999999994,87.6223207557,20100.9149909
839.999999994,87.5015800911,20100.9149909
844.999999994,87.3810756767,20100.9149909
849.999999994,87.2608019746,20100.9149909
854.999999994,87.140753659,20100.9149909
859.999999993,87.0209253769,20100.9149909
864.999999993,86.9013115663,20100.9149909
869.999999993,86.7819065197,20100.9149909
874.999999993,86.6627047051,20100.9149909
879.999999993,86.5437011551,20100.9149909
884.999999993,86.4248916481,20100.9149909
889.999999993,86.3062725139,20100.9149909
894.999999993,86.1878401504,20100.9149909
899.999999993,86.069590545,20100.9149909
904.999999992,85.9515191189,20100.9149909
909.999999992,85.8336210038,20100.9149909
914.999999992,85.7158915709,20100.9149909
919.999999992,85.5983268537,20100.9149909
924.999999992,85.480923573,20100.9149909
929.999999992,85.3636787432,20100.9149909
934.999999992,85.2465891297,20100.9149909
939.999999992,85.1296509284,20100.9149909
944.999999991,85.0128598805,20100.9149909
949.999999991,84.896211727,20100.9149909
954.999999991,84.7797026786,20100.9149909
959.999999991,84.6633295795,20100.9149909
964.999999991,84.5470896813,20100.9149909
969.999999991,84.4309802291,20100.9149909
974.999999991,84.3149981768,20100.9149909
979.999999991,84.199140216,20100.9149909
984.999999991,84.0834030299,20100.9149909
989.99999999,83.9677835034,20100.9149909
994.99999999,83.852278669,20100.9149909
999.99999999,83.7368854194,20100.9149909
