time,free_energy,total_c
0,9064.37646771,20504.5749543
5.0025,2698.43679326,20504.5749543
10.005,1975.78001639,20504.5749543
15.0075,1496.9413198,20504.5749543
20.01,1258.74980216,20504.5749543
25.0125,1152.68819152,20504.5749543
30.015,1107.38909905,20504.5749543
35.0175,1082.69430367,20504.5749543
40.02,1052.79968003,20504.5749543
45.0225,1041.07816001,20504.5749543
50.025,1030.76013119,20504.5749543
55.0275,1019.84825327,20504.5749543
60.03,1005.55865369,20504.5749543
65.0325,983.499865496,20504.5749543
70.035,975.061628895,20504.5749543
75.0375,963.481202813,20504.5749543
80.0399999999,945.260329459,20504.5749543
85.0424999999,942.177547147,20504.5749543
90.0449999999,939.539305914,20504.5749543
95.0474999999,937.138977786,20504.5749543
100.05,934.922816136,20504.5749543
105.0525,932.787857194,20504.5749543
110.055,930.50879661,20504.5749543
115.0575,910.142656416,20504.5749543
120.06,898.470486551,20504.5749543
125.0625,890.658335634,20504.5749543
130.065,884.633431208,20504.5749543
135.0675,879.636769592,20504.5749543
140.07,875.429392104,20504.5749543
145.0725,871.664808142,20504.5749543
150.075,868.191990871,20504.5749543
155.0775,864.954410061,20504.5749543
160.08,861.892760062,20504.5749543
165.0825,858.992301955,20504.5749543
170.085,856.105893881,20504.5749543
175.087499999,853.200392763,20504.5749543
180.089999999,850.159583508,20504.5749543
185.092499999,846.888975368,20504.5749543
190.094999999,843.300672469,20504.5749543
195.097499999,838.985150143,20504.5749543
200.099999999,833.097865471,20504.5749543
205.102499999,813.697114963,20504.5749543
210.104999999,810.454651869,20504.5749543
215.107499999,808.946514909,20504.5749543
220.109999999,807.522961478,20504.5749543
225.112499999,806.126926419,20504.5749543
230.114999999,804.770577616,20504.5749543
235.117499999,803.387594476,20504.5749543
240.119999999,802.037686736,20504.5749543
245.122499999,800.698854185,20504.5749543
250.124999999,799.335039574,20504.5749543
255.127499999,797.945629356,20504.5749543
260.129999999,796.51749459,20504.5749543
265.132499999,795.063560413,20504.5749543
270.134999999,793.545332713,20504.5749543
275.137499999,791.985491964,20504.5749543
280.139999999,790.328844134,20504.5749543
285.1425,788.608543608,20504.5749543
290.145,786.740539186,20504.5749543
295.1475,784.754215779,20504.5749543
300.15,782.599836136,20504.5749543
305.1525,780.178136588,20504.5749543
310.155,777.419226295,20504.5749543
315.1575,774.130099456,20504.5749543
320.16,769.839195543,20504.5749543
325.1625,762.7769536,20504.5749543
330.165,747.128093044,20504.5749543
335.1675,745.232279182,20504.5749543
340.17,744.209649767,20504.5749543
345.1725,743.419282925,20504.5749543
350.175,742.701810163,20504.5749543
355.177500001,742.018805529,20504.5749543
360.180000001,741.367873636,20504.5749543
365.182500001,740.709240189,20504.5749543
370.185000001,740.04642006,20504.5749543
375.187500001,739.412676545,20504.5749543
380.190000001,738.773682087,20504.5749543
385.192500001,738.092440182,20504.5749543
390.195000001,737.415262446,20504.5749543
395.197500001,736.750082118,20504.5749543
400.200000001,736.062067604,20504.5749543
405.202500001,735.371615314,20504.5749543
410.205000001,734.695780606,20504.5749543
415.207500001,733.979247143,20504.5749543
420.210000001,733.221805843,20504.5749543
425.212500002,732.466039928,20504.5749543
430.215000002,731.695792911,20504.5749543
435.217500002,730.908794083,20504.5749543
440.220000002,730.089407253,20504.5749543
445.222500002,729.228794136,20504.5749543
450.225000002,728.350849772,20504.5749543
455.227500002,727.45403741,20504.5749543
460.230000002,726.542683717,20504.5749543
465.232500002,725.555701932,20504.5749543
470.235000002,724.544518341,20504.5749543
475.237500002,723.50726666,20504.5749543
480.240000002,722.425951389,20504.5749543
485.242500002,721.247942842,20504.5749543
490.245000002,719.976446848,20504.5749543
495.247500003,718.6463293,20504.5749543
500.250000003,717.230514641,20504.5749543
505.252500003,715.723875534,20504.5749543
510.255000003,714.104009406,20504.5749543
515.257500003,712.270493817,20504.5749543
520.260000003,710.241705705,20504.5749543
525.262500002,707.943591107,20504.5749543
530.265000002,705.166749715,20504.5749543
535.267500002,701.59899577,20504.5749543
540.270000002,695.833030208,20504.5749543
545.272500002,679.974349849,20504.5749543
550.275000002,677.779242926,20504.5749543
555.277500002,676.806028605,20504.5749543
560.280000002,676.168789833,20504.5749543
565.282500001,675.637544589,20504.5749543
570.285000001,675.154896038,20504.5749543
575.287500001,674.706803704,20504.5749543
580.290000001,674.265713958,20504.5749543
585.292500001,673.804122118,20504.5749543
590.295000001,673.330639178,20504.5749543
595.297500001,672.860206317,20504.5749543
600.300000001,672.368170338,20504.5749543
605.302500001,671.831638079,20504.5749543
610.305,671.289088922,20504.5749543
615.3075,670.773322025,20504.5749543
620.31,670.246247352,20504.5749543
625.3125,669.667201844,20504.5749543
630.315,669.06127942,20504.5749543
635.3175,668.444723731,20504.5749543
640.32,667.803400115,20504.5749543
645.3225,667.143229105,20504.5749543
650.324999999,666.442812506,20504.5749543
655.327499999,665.699315656,20504.5749543
660.329999999,664.939308277,20504.5749543
665.332499999,664.113777064,20504.5749543
670.334999999,663.223167146,20504.5749543
675.337499999,662.293110523,20504.5749543
680.339999999,661.262315514,20504.5749543
685.342499999,660.1646622,20504.5749543
690.344999999,658.9982213,20504.5749543
695.347499998,657.670700443,20504.5749543
700.349999998,656.217202082,20504.5749543
705.352499998,654.561214397,20504.5749543
710.354999998,652.659865811,20504.5749543
715.357499998,650.388322607,20504.5749543
720.359999998,647.513821181,20504.5749543
725.362499998,643.332515416,20504.5749543
730.364999998,627.453002818,20504.5749543
735.367499997,623.351758854,20504.5749543
740.369999997,622.371071261,20504.5749543
745.372499997,621.925965168,20504.5749543
750.374999997,621.653506115,20504.5749543
755.377499997,621.454439494,20504.5749543
760.379999997,621.294084545,20504.5749543
765.382499997,621.157397159,20504.5749543
770.384999997,621.036595768,20504.5749543
775.387499997,620.926334959,20504.5749543
780.389999996,620.822031454,20504.5749543
785.392499996,620.719754855,20504.5749543
790.394999996,620.618450537,20504.5749543
795.397499996,620.520903905,20504.5749543
800.399999996,620.428947031,20504.5749543
805.402499996,620.342089743,20504.5749543
810.404999996,620.259274031,20504.5749543
815.407499996,620.179593849,20504.5749543
820.409999995,620.102413386,20504.5749543
825.412499995,620.027252269,20504.5749543
830.414999995,619.953581089,20504.5749543
835.417499995,619.880766196,20504.5749543
840.419999995,619.80822027,20504.5749543
845.422499995,619.735733945,20504.5749543
850.424999995,619.663961949,20504.5749543
855.427499995,619.594349091,20504.5749543
860.429999995,619.528026749,20504.5749543
865.432499994,619.46516696,20504.5749543
870.434999994,619.40530911,20504.5749543
875.437499994,619.34777771,20504.5749543
880.439999994,619.291907013,20504.5749543
885.442499994,619.237173041,20504.5749543
890.444999994,619.183247037,20504.5749543
895.447499994,619.129933383,20504.5749543
900.449999994,619.077047514,20504.5749543
905.452499993,619.02433657,20504.5749543
910.454999993,618.971469251,20504.5749543
915.457499993,618.918054994,20504.5749543
920.459999993,618.863659354,20504.5749543
925.462499993,618.807826155,20504.5749543
930.464999993,618.75016094,20504.5749543
935.467499993,618.690536361,20504.5749543
940.469999993,618.629366377,20504.5749543
945.472499992,618.567667305,20504.5749543
950.474999992,618.506683479,20504.5749543
955.477499992,618.447370677,20504.5749543
960.479999992,618.390172137,20504.5749543
965.482499992,618.335104532,20504.5749543
970.484999992,618.281941447,20504.5749543
975.487499992,618.230362562,20504.5749543
980.489999992,618.180043473,20504.5749543
985.492499992,618.130697551,20504.5749543
990.494999991,618.082085116,20504.5749543
995.497499991,618.034008377,20504.5749543
1000.49999999,617.986311026,20504.5749543
