time,solid_fraction,free_energy,tip_x
0,51.5574012953,2122249.35937,7.99048284612
5,131.114309359,2121782.57864,12.9131137729
10,178.023283838,2121419.73664,15.115720027
15,218.684858196,2121083.08731,16.832634762
20,256.816329791,2120761.44908,18.3359518335
25,293.600695978,2120449.52638,19.7062711687
30,329.539026091,2120144.29812,20.9657334601
35,364.89189729,2119843.90886,22.1799206961
40,399.814837495,2119547.15051,23.3151584943
45,434.409779478,2119253.1962,24.4272340638
50,468.748021687,2118961.45389,25.4923439059
55,502.881993547,2118671.48408,26.5181629157
60,536.851697931,2118382.9498,27.5294232525
65,570.688628631,2118095.58532,28.5248450689
70,604.418246966,2117809.17603,29.4873948325
75,638.06160405,2117523.54479,30.4297104606
80,671.636457986,2117238.54244,31.3595920038
85,705.158065871,2116954.04103,32.2816758195
90,738.639758463,2116669.92899,33.1987153462
95,772.093367086,2116386.10738,34.1019289543
100,805.529547017,2116102.48724,34.9920121999
105,838.958026108,2115818.98736,35.8724327635
110,872.387798443,2115535.5327,36.7456770765
115,905.827277097,2115252.05304,37.6136120261
120,939.284416151,2114968.48191,38.4776946515
125,972.766809136,2114684.75577,39.339113148
130,1006.28176905,2114400.8133,40.1988830381
135,1039.83639363,2114116.5948,41.0579138401
140,1073.4376185,2113832.04178,41.9170563545
145,1107.09226034,2113547.09655,42.7771374013
150,1140.80705143,2113261.70191,43.6363998961
155,1174.58866679,2112975.80091,44.4933227737
160,1208.44374461,2112689.33668,45.3494699808
165,1242.37890036,2112402.25229,46.2055704884
170,1276.40073485,2112114.49067,47.0623053772
175,1310.51583704,2111825.99457,47.9203344855
180,1344.73078367,2111536.7066,48.7803207901
185,1379.05213489,2111246.56926,49.6429532249
190,1413.48642057,2110955.52506,50.5089683677
195,1448.04011816,2110663.51663,51.3791713379
200,1482.71963832,2110370.4869,52.2544563067
205,1517.531313,2110076.3794,53.1358271297
210,1552.48135481,2109781.13834,54.0227963261
215,1587.57582439,2109484.70896,54.9078876343
220,1622.82063051,2109187.03786,55.7930095353
225,1658.22147543,2108888.07319,56.6790045714
230,1693.78381948,2108587.765,57.5668551449
235,1729.51288823,2108286.06557,58.4576785652
240,1765.41359045,2107982.92961,59.3527181354
245,1801.49053119,2107678.3146,60.2533340402
250,1837.74797574,2107372.18093,61.1609977037
255,1874.18981542,2107064.49213,62.0701116256
260,1910.81959678,2106755.21502,62.9740154131
