time,free_energy,elastic_energy,grad_energy,precip_area,a10
0.005,14.4126510129,3.08509921999,3.30174304239,1260.63156012,20.0049518426
5,14.167748135,3.04029379622,2.93763896946,1260.09344556,19.9607842614
10,14.1638283734,3.03938471355,2.90022395405,1260.9756038,19.9604005054
15,14.1598853944,3.04087981836,2.89225122356,1261.93449096,19.9622710171
20,14.1558570647,3.04296838203,2.89179776407,1262.89903005,19.9644186261
25,14.1519459449,3.04514554127,2.89334411773,1263.83425486,19.9663707574
30,14.1482032725,3.04727042112,2.89532315952,1264.73158003,19.9680476028
35,14.1446237751,3.04931177816,2.89728745262,1265.59236968,19.9694800549
40,14.1411887662,3.05127016451,2.8991228242,1266.42060025,19.9707204338
45,14.1378791354,3.05315408884,2.90081452427,1267.22039082,19.9718172122
50,14.1346784238,3.0549729393,2.90237544503,1267.99534025,19.9728097702
55,14.1315730683,3.05673510158,2.90382399438,1268.74844657,19.9737288015
60,14.1285519703,3.05844764539,2.90517757825,1269.48218401,19.9745979396
65,14.1256059943,3.06011644405,2.90645102637,1270.19860374,19.9754353531
70,14.1227275434,3.06174637949,2.90765654022,1270.89942201,19.9762550356
75,14.1199102287,3.06334153439,2.90880405382,1271.58608962,19.9770677896
80,14.1171486175,3.06490535013,2.90990165249,1272.25984524,19.9778819631
85,14.1144380428,3.06644075144,2.91095594543,1272.92175607,19.9787040015
90,14.1117744571,3.06795024365,2.91197237047,1273.57274917,19.9795388626
95,14.1091543207,3.06943598884,2.91295543511,1274.21363581,19.980390332
100,14.1065745143,3.07089986563,2.91390890487,1274.84513071,19.9812612644
105,14.1040322698,3.07234351673,2.91483594984,1275.46786734,19.9821537704
110,14.1015251165,3.07376838691,2.91573925881,1276.08241026,19.9830693625
115,14.0990508362,3.07517575371,2.9166211287,1276.68926518,19.9840090697
120,14.0966074281,3.07656675245,2.9174835349,1277.28888719,19.9849735297
125,14.0941930796,3.07794239668,2.91832818693,1277.8816876,19.9859630613
130,14.0918061414,3.07930359516,2.91915657299,1278.46803965,19.986977725
135,14.0894451082,3.08065116598,2.91996999561,1279.04828324,19.9880173703
140,14.0871086008,3.08198584835,2.92076960063,1279.62272902,19.9890816765
145,14.0847953524,3.08330831262,2.92155640081,1280.19166177,19.9901701847
150,14.0825041961,3.08461916867,2.92233129512,1280.75534339,19.9912823257
155,14.0802340543,3.08591897315,2.92309508481,1281.31401534,19.9924174429
160,14.0779839294,3.08720823564,2.92384848668,1281.86790088,19.993574811
165,14.0757528964,3.08848742396,2.92459214422,1282.41720689,19.9947536526
170,14.0735400957,3.08975696877,2.92532663695,1282.96212556,19.9959531519
175,14.0713447269,3.09101726752,2.92605248835,1283.50283578,19.9971724657
180,14.0691660441,3.09226868796,2.92677017259,1284.03950442,19.9984107338
185,14.0670033503,3.09351157114,2.92748012024,1284.57228743,19.9996670872
190,14.0648559939,3.0947462341,2.92818272319,1285.1013308,20.0009406548
195,14.0627233651,3.09597297218,2.92887833894,1285.62677144,20.0022305697
200,14.0606048918,3.09719206114,2.92956729419,1286.14873795,20.0035359742
