time,free_energy,total_c
0.0008,185.339498939,5096.85707212
2,182.824863253,5096.85707212
4,178.326530216,5096.85707212
6,171.506668484,5096.85707212
8,163.694377686,5096.85707212
10,157.093778411,5096.85707212
12,152.906894612,5096.85707212
14,150.693692238,5096.85707212
16,149.464391462,5096.85707212
18,148.607151312,5096.85707212
20,147.889891617,5096.85707212
22,147.245622834,5096.85707212
24,146.658074889,5096.85707212
26,146.118680721,5096.85707212
28,145.618307502,5096.85707212
30,145.148250118,5096.85707212
32,144.700414043,5096.85707212
34,144.265874686,5096.85707212
36,143.831273053,5096.85707212
38,143.37173503,5096.85707212
40,142.880150327,5096.85707212
42,142.399478128,5096.85707212
44,141.8964161,5096.85707212
46,141.367394755,5096.85707212
48,140.903385588,5096.85707212
50,140.510747235,5096.85707212
52,140.160094673,5096.85707212
54,139.834577384,5096.85707212
56,139.525666814,5096.85707212
58,139.228457667,5096.85707212
60,138.939533657,5096.85707212
62,138.655891177,5096.85707212
64,138.374088343,5096.85707212
66,138.089004011,5096.85707212
67.9999999999,137.791471727,5096.85707212
69.9999999999,137.465972049,5096.85707212
71.9999999999,137.09894961,5096.85707212
73.9999999999,136.697236737,5096.85707212
75.9999999999,136.291120099,5096.85707212
77.9999999999,135.905707679,5096.85707212
79.9999999999,135.544626152,5096.85707212
81.9999999999,135.203688925,5096.85707212
83.9999999999,134.878519334,5096.85707212
85.9999999999,134.565961084,5096.85707212
87.9999999999,134.263915269,5096.85707212
89.9999999999,133.970978268,5096.85707212
91.9999999999,133.686109884,5096.85707212
93.9999999999,133.408396716,5096.85707212
95.9999999999,133.136865724,5096.85707212
97.9999999999,132.870264194,5096.85707212
99.9999999999,132.606669089,5096.85707212
102,132.342440576,5096.85707212
104,132.069306548,5096.85707212
106,131.781929475,5096.85707212
108,131.515273678,5096.85707212
110,131.281011594,5096.85707212
112,131.066011727,5096.85707212
114,130.860883942,5096.85707212
116,130.661517571,5096.85707212
118,130.466331943,5096.85707212
120,130.274653907,5096.85707212
122,130.086091528,5096.85707212
124,129.900438445,5096.85707212
126,129.717435887,5096.85707212
128,129.536924326,5096.85707212
130,129.358729729,5096.85707212
132,129.182735881,5096.85707212
134,129.008798968,5096.85707212
136,128.836787527,5096.85707212
138,128.666615673,5096.85707212
140,128.498084659,5096.85707212
142,128.331191505,5096.85707212
144,128.165755726,5096.85707212
146,128.001726192,5096.85707212
148,127.839017791,5096.85707212
150,127.677502385,5096.85707212
152,127.517113169,5096.85707212
154,127.357768754,5096.85707212
156,127.199375045,5096.85707212
158,127.041889684,5096.85707212
160,126.885241753,5096.85707212
162,126.729314259,5096.85707212
164,126.57409106,5096.85707212
166,126.419509477,5096.85707212
168,126.265478344,5096.85707212
170,126.111942348,5096.85707212
172,125.958875023,5096.85707212
174,125.806228788,5096.85707212
176,125.653906375,5096.85707212
178,125.501920882,5096.85707212
180,125.350180307,5096.85707212
182,125.198656855,5096.85707212
184,125.047292286,5096.85707212
186,124.896076954,5096.85707212
188,124.744970671,5096.85707212
190,124.593903553,5096.85707212
192,124.442835507,5096.85707212
194,124.291765324,5096.85707212
196,124.140634812,5096.85707212
198,123.989406726,5096.85707212
200,123.83806356,5096.85707212
202,123.68651547,5096.85707212
204,123.534786245,5096.85707212
206,123.38278849,5096.85707212
208,123.230493548,5096.85707212
210,123.077852486,5096.85707212
212,122.924816194,5096.85707212
214,122.771325989,5096.85707212
216,122.61729507,5096.85707212
218,122.462673801,5096.85707212
220,122.307359085,5096.85707212
222,122.151178056,5096.85707212
224,121.993992888,5096.85707212
226,121.835532649,5096.85707212
228,121.675420202,5096.85707212
230,121.512970363,5096.85707212
232,121.347130857,5096.85707212
234,121.175837234,5096.85707212
236,120.995566035,5096.85707212
238,120.801646368,5096.85707212
240,120.592044355,5096.85707212
242,120.370147499,5096.85707212
244,120.140690133,5096.85707212
246,119.908354499,5096.85707212
248,119.677372725,5096.85707212
250,119.449704172,5096.85707212
252,119.225565184,5096.85707212
254,119.00451828,5096.85707212
256,118.785974864,5096.85707212
258,118.569378454,5096.85707212
260,118.35426167,5096.85707212
262,118.140256295,5096.85707212
264,117.927094246,5096.85707212
266,117.714598093,5096.85707212
268,117.502663289,5096.85707212
270,117.291253726,5096.85707212
272,117.080379755,5096.85707212
274,116.870107081,5096.85707212
276,116.660522465,5096.85707212
278,116.45173445,5096.85707212
280,116.243852987,5096.85707212
282,116.036971007,5096.85707212
284,115.831134858,5096.85707212
286.000000001,115.626333211,5096.85707212
288.000000001,115.422449883,5096.85707212
290.000000001,115.219220249,5096.85707212
292.000000001,115.016139689,5096.85707212
294.000000001,114.812269041,5096.85707212
296.000000001,114.605772567,5096.85707212
298.000000001,114.392501066,5096.85707212
300.000000001,114.163530468,5096.85707212
302.000000001,113.925242379,5096.85707212
304.000000001,113.708677989,5096.85707212
306.000000001,113.512340455,5096.85707212
308.000000001,113.328525361,5096.85707212
310.000000001,113.153123375,5096.85707212
312.000000001,112.983800238,5096.85707212
314.000000001,112.819024238,5096.85707212
316.000000002,112.657589327,5096.85707212
318.000000002,112.498641132,5096.85707212
320.000000002,112.341401827,5096.85707212
322.000000002,112.185122532,5096.85707212
324.000000002,112.029249007,5096.85707212
326.000000002,111.873161704,5096.85707212
328.000000002,111.716209246,5096.85707212
330.000000002,111.557719238,5096.85707212
332.000000002,111.396809571,5096.85707212
334.000000002,111.232417379,5096.85707212
336.000000002,111.062795026,5096.85707212
338.000000002,110.884893761,5096.85707212
340.000000002,110.692752206,5096.85707212
342.000000002,110.477399713,5096.85707212
344.000000002,110.249245978,5096.85707212
346.000000002,110.034064941,5096.85707212
348.000000003,109.830318395,5096.85707212
350.000000003,109.627921013,5096.85707212
352.000000003,109.416001316,5096.85707212
354.000000003,109.177775923,5096.85707212
356.000000003,108.89852379,5096.85707212
358.000000003,108.621839027,5096.85707212
360.000000003,108.389274999,5096.85707212
362.000000003,108.19185371,5096.85707212
364.000000003,108.017713477,5096.85707212
366.000000003,107.860227864,5096.85707212
368.000000003,107.715458891,5096.85707212
370.000000003,107.580649457,5096.85707212
372.000000003,107.453777315,5096.85707212
374.000000003,107.333226565,5096.85707212
376.000000003,107.217726714,5096.85707212
378.000000004,107.106167961,5096.85707212
380.000000004,106.997710074,5096.85707212
382.000000004,106.891623245,5096.85707212
384.000000004,106.787189912,5096.85707212
386.000000004,106.683970683,5096.85707212
388.000000004,106.58138027,5096.85707212
390.000000004,106.479043991,5096.85707212
392.000000004,106.376469008,5096.85707212
394.000000004,106.273254897,5096.85707212
396.000000004,106.168844065,5096.85707212
398.000000004,106.062651865,5096.85707212
400.000000004,105.95382506,5096.85707212
