time,solid_fraction,tip_x
0,51.5574012953,7.99048284612
5,131.114309359,12.9131137729
10,178.023283838,15.115720027
15,218.684858196,16.832634762
20,256.816329791,18.3359518335
25,293.600695978,19.7062711687
30,329.539026091,20.9657334601
35,364.89189729,22.1799206961
40,399.814837495,23.3151584943
45,434.409779478,24.4272340638
50,468.748021687,25.4923439059
55,502.881993547,26.5181629157
60,536.851697931,27.5294232525
65,570.688628631,28.5248450689
70,604.418246966,29.4873948325
75,638.06160405,30.4297104606
80,671.636457986,31.3595920038
85,705.158065871,32.2816758195
90,738.639758463,33.1987153462
95,772.093367086,34.1019289543
100,805.529547017,34.9920121999
105,838.958026108,35.8724327635
110,872.387798443,36.7456770765
115,905.827277097,37.6136120261
120,939.284416151,38.4776946515
125,972.766809136,39.339113148
130,1006.28176905,40.1988830381
135,1039.83639363,41.0579138401
140,1073.4376185,41.9170563545
145,1107.09226034,42.7771374013
150,1140.80705143,43.6363998961
155,1174.58866679,44.4933227737
160,1208.44374461,45.3494699808
165,1242.37890036,46.2055704884
170,1276.40073485,47.0623053772
175,1310.51583704,47.9203344855
180,1344.73078367,48.7803207901
185,1379.05213489,49.6429532249
190,1413.48642057,50.5089683677
195,1448.04011816,51.3791713379
200,1482.71963832,52.2544563067
205,1517.531313,53.1358271297
210,1552.48135481,54.0227963261
215,1587.57582439,54.9078876343
220,1622.82063051,55.7930095353
225,1658.22147543,56.6790045714
230,1693.78381948,57.5668551449
235,1729.51288823,58.4576785652
240,1765.41359045,59.3527181354
245,1801.49053119,60.2533340402
250,1837.74797574,61.1609977037
255,1874.18981542,62.0701116256
260,1910.81959678,62.9740154131
265,1947.64045843,63.8757233367
270,1984.65518735,64.7769311986
275,2021.86615111,65.6793148355
280,2059.27536437,66.584502992
285,2096.88442712,67.4940627787
290,2134.69460941,68.4089421589
295,2172.70679525,69.3168791678
300,2210.92158031,70.2194383798
305,2249.33921937,71.1185741728
310,2287.95971182,72.0160292147
315,2326.78277465,72.9133382196
320,2365.8078847,73.8118397714
325,2405.03431654,74.7126945141
330,2444.46111861,75.6158884564
335,2484.08721461,76.5113494397
340,2523.91133337,77.4011193338
345,2563.93211707,78.2867133619
350,2604.14811591,79.1694076888
355,2644.55776471,80.050266949
360,2685.15938226,80.9301705747
365,2725.95121242,81.8098376976
370,2766.93167689,82.6898501463
375,2808.09924175,83.5706729491
380,2849.45177431,84.4486515061
385,2890.98686905,85.3204738812
390,2932.70319899,86.1880591592
395,2974.60028738,87.0521839202
400,3016.67605942,87.9134915197
405,3058.92644004,88.7725108784
410,3101.3492454,89.629673436
415,3143.94578522,90.4853276579
420,3186.71590673,91.3397507657
425,3229.65501396,92.1931588593
430,3272.75908467,93.0457165281
435,3316.02852289,93.8975453464
440,3359.46386035,94.7487303241
445,3403.06224125,95.5993249761
450,3446.82118573,96.4457378364
455,3490.74089357,97.2892301479
460,3534.82017022,98.13013579
465,3579.05514379,98.9687099892
470,3623.44399365,99.8051679514
475,3667.98793443,100.639690645
480,3712.68642169,101.472429466
485,3757.53638021,102.303510167
490,3802.53650156,103.13303654
495,3847.68729811,103.961093717
500,3892.98705757,104.787750862
505,3938.43248532,105.613063421
510,3984.02288498,106.437075254
515,4029.75938955,107.259820565
520,4075.64092615,108.081325448
525,4121.66491285,108.901609182
530,4167.83084405,109.720685457
535,4214.13935105,110.538563523
540,4260.58877777,111.355249122
545,4307.17622213,112.170745253
550,4353.90106754,112.9850529
555,4400.76426409,113.79817172
560,4447.764975,114.610100605
565,4494.90097337,115.420838121
570,4542.1717227,116.230382908
575,4589.57809456,117.038734068
580,4637.11928924,117.845891482
585,4684.79271743,118.651856046
590,4732.59702675,119.456629859
595,4780.5328221,120.260216399
600,4828.60003906,121.062620673
605,4876.79683486,121.863849291
610,4925.12184692,122.663910496
615,4973.57564133,123.462814176
620,5022.15877118,124.260571856
625,5070.86981922,125.057196642
630,5119.70667815,125.852703136
635,5168.6687973,126.647107303
640,5217.75669334,127.440426348
645,5266.96977546,128.232678549
650,5316.30618691,129.023883064
655,5365.76486836,129.814059713
660,5415.3464157,130.603228726
665,5465.05136541,131.391410492
670,5514.8786292,132.178625274
675,5564.82641813,132.964892902
680,5614.89409017,133.750232437
685,5665.08206906,134.534661829
690,5715.39010592,135.318197553
695,5765.81661639,136.100854221
700,5816.36009189,136.882644176
705,5867.02047381,137.663577063
710,5917.79850545,138.443659377
715,5968.69405499,139.222894002
720,6019.70575798,140.00127971
725,6070.83235863,140.778810654
730,6122.07376537,141.555475818
735,6173.43037327,142.331258453
740,6224.90168338,143.106135485
745,6276.48613891,143.88007689
750,6328.18239505,144.653045042
755,6379.99032852,145.424994022
760,6431.91051156,146.195868894
765,6483.94291092,146.965604938
770,6536.08647114,147.734126843
775,6588.34002432,148.501347845
780,6640.7032808,149.267168813
785,6693.17663339,150.031477259
790,6745.76006712,150.793896625
795,6798.45253931,151.554195957
800,6851.25257732,152.314460334
805,6904.15937361,153.074674065
