time,solid_fraction,tip_x
0,51.5574012953,7.99048284612
5,131.249353958,12.9470454694
10,178.249184459,15.3215801233
15,219.031703004,17.2800770117
20,257.351788282,19.0090854991
25,294.411984531,20.6036945942
30,330.723247367,22.1057877408
35,366.552434169,23.5315724694
40,402.060719101,24.9086439914
45,437.356146674,26.2581268246
50,472.517123635,27.5685551616
55,507.60423868,28.8511197759
60,542.666838295,30.1326534514
65,577.746887245,31.3802253603
70,612.881370591,32.6402174773
75,648.103907285,33.8806574249
80,683.445707356,35.1282263304
85,718.936341731,36.3783671743
90,754.604064461,37.6196925519
95,790.476131234,38.8842375855
100,826.5788242,40.1310620566
105,862.937420687,41.4079079767
110,899.576091266,42.6747889464
115,936.517602459,43.9573025049
120,973.783169047,45.2549960274
125,1011.39208078,46.5368214016
130,1049.36149647,47.8464109183
135,1087.70625049,49.1508910005
140,1126.43863288,50.4525017046
145,1165.56843394,51.773395922
150,1205.10292345,53.0761777531
155,1245.04693374,54.3868626459
160,1285.40316443,55.7055997913
165,1326.17233577,56.999489186
170,1367.35348738,58.3083738325
175,1408.94436718,59.6133702526
180,1450.94158802,60.895801148
185,1493.34102891,62.1959879255
190,1536.13853966,63.4725841616
195,1579.33270758,64.7540710993
200,1622.91317185,66.0366322262
205,1666.87325613,67.2937155701
210,1711.21272142,68.5692593406
215,1755.91541098,69.8177038772
220,1800.98074129,71.0792139266
225,1846.40004964,72.3268497726
230,1892.17154188,73.5704157151
235,1938.28946799,74.819287321
240,1984.74563605,76.0449411156
245,2031.52813337,77.2884465849
250,2078.64423303,78.5038668709
255,2126.08283244,79.7399878028
260,2173.84183378,80.9477873616
265,2221.92226084,82.1758145426
270,2270.31249293,83.3771047311
275,2319.0140038,84.5971955292
280,2368.02152664,85.7922112108
285,2417.32276764,87.0050318223
290,2466.91296233,88.193576576
295,2516.79405478,89.3999909225
300,2566.97113975,90.5817831622
305,2617.43143581,91.7825741815
310,2668.18299848,92.9575184948
315,2719.2155756,94.1531192731
320,2770.52103975,95.3215290301
325,2822.10153542,96.5117564942
330,2873.9599698,97.6745514475
335,2926.0841511,98.8583302227
340,2978.4699621,100.01722008
345,3031.11214121,101.191768541
350,3084.01941312,102.349954182
355,3137.18461357,103.510343825
360,3190.60281949,104.672814725
365,3244.26830095,105.821166305
370,3298.19052558,106.985330521
375,3352.36381101,108.124964076
380,3406.78214605,109.286287239
385,3461.44178616,110.421899863
390,3516.35602551,111.572001574
395,3571.51114618,112.711374263
400,3626.90120287,113.845029031
405,3682.53302473,114.991774982
410,3738.4015406,116.115268785
415,3794.49989229,117.260153096
420,3850.82640438,118.381495849
425,3907.37890285,119.509851586
430,3964.15488957,120.641160823
435,4021.1596192,121.755272315
440,4078.39074737,122.889979492
445,4135.84315162,124.000034754
450,4193.51419335,125.119306339
455,4251.40514385,126.239980054
460,4309.51085003,127.34401966
465,4367.83567353,128.468719047
470,4426.37416651,129.570288659
475,4485.12476598,130.676453749
480,4544.0851015,131.791579618
485,4603.25006872,132.885380447
490,4662.62812045,133.998332357
495,4722.21860162,135.095669991
500,4782.01439444,136.1872995
505,4842.01277284,137.297477228
510,4902.21080287,138.384131612
515,4962.60726399,139.476655986
520,5023.21112662,140.578249796
525,5084.01642885,141.658554323
530,5145.0198947,142.753267221
535,5206.21984595,143.84329801
540,5267.61410628,144.919634222
545,5329.20915449,146.015433383
550,5391.0061633,147.094126811
555,5452.99439824,148.167603628
560,5515.17285011,149.260028751
565,5577.54076023,150.331639196
570,5640.0971615,151.402512073
575,5702.84946996,152.490424048
580,5765.78986143,153.556418739
585,5828.9157401,154.624405997
590,5892.22711621,155.7076107
595,5955.72332202,156.76890545
600,6019.40324605,157.833435493
605,6083.26769912,158.912273303
610,6147.31263609,159.969495474
615,6211.53640751,161.029905541
620,6275.93738572,162.104886208
625,6340.52100459,163.158584694
630,6405.28503951,164.214283772
635,6470.23031748,165.285750857
640,6535.35264553,166.336569388
645,6600.65047627,167.387173716
650,6666.12376182,168.454987043
655,6731.7711344,169.503812933
660,6797.5898105,170.549260812
665,6863.58610703,171.612486147
670,6929.75661483,172.66058431
675,6996.10088848,173.701236795
680,7062.61968837,174.756086077
685,7129.30884941,175.806971653
690,7196.16695209,176.843706318
695,7263.19278461,177.889501878
700,7330.38403518,178.942771543
705,7397.74461505,179.977077263
710,7465.27821462,181.014640301
715,7532.98068424,182.067352315
720,7600.85105757,183.101433467
725,7668.88803519,184.132259728
730,7737.08763662,185.178413435
735,7805.45109917,186.216385585
740,7873.98071023,187.242725079
745,7942.66969248,188.277271829
750,8011.52341842,189.320893132
755,8080.54254006,190.345856615
760,8149.722745,191.371320362
765,8219.06408259,192.41304839
770,8288.56766371,193.440749325
775,8358.23444998,194.460499971
780,8428.06010402,195.489266571
785,8498.04168559,196.525549854
790,8568.18067844,197.543943144
795,8638.48001265,198.56264807
800,8708.9393791,199.597004064
805,8779.55939901,200.619749444
810,8850.34002536,201.633140165
815,8921.27534896,202.653164589
820,8992.36560542,203.68469238
825,9063.61031092,204.698660992
830,9135.00819616,205.70963597
835,9206.55930313,206.732057356
840,9278.26359935,207.75570951
845,9350.12161163,208.763994376
850,9422.12965941,209.773921768
855,9494.28940444,210.798889903
860,9566.60022216,211.81231484
865,9639.06199869,212.816675429
870,9711.67893678,213.826063228
875,9784.448022,214.848717984
880,9857.36828762,215.855806855
885,9930.43660817,216.857193479
890,10003.6527366,217.865955306
895,10077.0159024,218.884728755
900,10150.5235054,219.88701451
905,10224.1808481,220.885831343
910,10297.9888027,221.893491412
915,10371.9481868,222.908062691
920,10446.0534875,223.906505384
925,10520.301943,224.902812819
930,10594.6976549,225.908669933
935,10669.2407686,226.919463252
940,10743.9289662,227.914715301
945,10818.7628613,228.908389994
950,10893.7370821,229.91165236
955,10968.8543751,230.919454802
960,11044.1176042,231.912020464
965,11119.5240314,232.902885047
970,11195.0738417,233.902782637
975,11270.7690942,234.908400559
980,11346.6081188,235.898766194
985,11422.5881575,236.886696631
990,11498.7104441,237.882575168
995,11574.9728049,238.886517951
1000,11651.3742123,239.875261846
1005,11727.9140811,240.860278171
1010,11804.5973067,241.851677749
1015,11881.4256614,242.853859877
1020,11958.3945869,243.841748394
1025,12035.5014745,244.824093574
1030,12112.7458741,245.810814872
1035,12190.1279995,246.810267076
1040,12267.6489582,247.79834287
1045,12345.3098411,248.778554228
1050,12423.1078003,249.760715818
1055,12501.0433647,250.753663401
1060,12579.1162937,251.744961823
1065,12657.3240577,252.723939555
1070,12735.6684539,253.702030563
1075,12814.1494627,254.687952126
1080,12892.7664456,255.681224074
1085,12971.5228268,256.660301578
1090,13050.4137228,257.635234673
1095,13129.4387009,258.614718415
1100,13208.5977713,259.606331213
1105,13287.8905005,260.587352073
1110,13367.3161213,261.560522148
1115,13446.872834,262.534620648
1120,13526.5635232,263.517551902
1125,13606.3921104,264.504328998
1130,13686.3535192,265.477682887
1135,13766.4467298,266.447961324
