time,solid_fraction,tip_x
0,51.5574012953,7.99048284612
5,131.259942064,12.8576936556
10,178.28606198,14.9608333888
15,219.158783333,16.4021762699
20,257.583634073,17.7667486074
25,294.71588223,19.0299326804
30,330.991418309,20.2320452672
35,366.66384527,21.3962741637
40,401.929076385,22.4563876369
45,436.920104328,23.4420794841
50,471.669200198,24.4161032714
55,506.207778821,25.3746026822
60,540.573258109,26.3060606738
65,574.810356967,27.2022603191
70,608.968140938,28.0571682871
75,643.072210397,28.8688712241
80,677.115560021,29.6677703299
85,711.100230314,30.4611320871
90,745.032813421,31.2479775795
95,778.926649948,32.0260846271
100,812.804351545,32.7853895369
105,846.693514879,33.516080861
110,880.591266573,34.215320239
115,914.491905783,34.9013015969
120,948.393570815,35.5766515818
125,982.297835065,36.2526616855
130,1016.21407602,36.9316947527
135,1050.16001834,37.6028305108
140,1084.15427961,38.2487565847
145,1118.18318396,38.8623937531
150,1152.24573083,39.4601865141
155,1186.34050719,40.0695980632
160,1220.47126952,40.6820154612
165,1254.65057957,41.2828450397
170,1288.90069606,41.8604289535
175,1323.20684777,42.4312864512
180,1357.56798024,42.9903190825
185,1391.98435814,43.5222451135
190,1426.46023788,44.0701562618
195,1461.00937744,44.6245311852
200,1495.65033619,45.1475176011
205,1530.36307972,45.6647429959
210,1565.14933798,46.175248874
215,1600.01199526,46.6551145382
220,1634.95899761,47.1599740596
225,1670.01729627,47.6531155555
230,1705.17400469,48.1270623094
235,1740.42141492,48.6038242057
240,1775.76350404,49.0426899965
245,1811.20575356,49.5050510659
250,1846.77621702,49.9429194529
255,1882.47310755,50.394105432
260,1918.28056646,50.8207722081
265,1954.20251684,51.2381153818
270,1990.2416681,51.6490811644
275,2026.43064032,52.053428582
280,2062.77021425,52.4600695271
285,2099.24369854,52.8499758277
290,2135.85192737,53.231907002
295,2172.59645742,53.605442572
300,2209.51284838,53.9653805537
305,2246.60344979,54.3388036787
310,2283.85063121,54.6822471311
315,2321.25440772,55.0432708203
320,2358.81280449,55.366482043
325,2396.56196133,55.7066254078
330,2434.50900911,56.0268585874
335,2472.63616411,56.3383283915
340,2510.94212925,56.6632056234
345,2549.42132409,56.9533447216
350,2588.09630251,57.2550940563
355,2626.99294502,57.5463541415
360,2666.09053115,57.8170452625
365,2705.3835648,58.1060643616
370,2744.86885145,58.374829734
375,2784.54324113,58.6271808474
380,2824.44845525,58.8955921113
385,2864.5720327,59.1461752306
390,2904.90242432,59.3796175894
395,2945.43740118,59.6240670518
400,2986.17138543,59.8660976561
405,3027.09945913,60.084816134
410,3068.25601682,60.3022108885
415,3109.63184817,60.5335362346
420,3151.21723632,60.7442441063
425,3193.00363697,60.9416639955
430,3234.98785205,61.1427609004
435,3277.16176819,61.3544422264
440,3319.53537003,61.5460009546
445,3362.12805075,61.7268029394
450,3404.91967858,61.910059058
455,3447.90467622,62.1055835704
460,3491.08012668,62.2864589714
465,3534.43784419,62.4542432085
470,3577.96890766,62.6188656564
475,3621.67854674,62.7902576879
480,3665.59048983,62.9654268165
485,3709.68961019,63.1240057086
490,3753.96821039,63.2731522048
495,3798.4164849,63.4201360681
500,3843.03392797,63.5724848662
505,3887.81790414,63.7303434778
510,3932.76073121,63.8746080353
515,3977.87783588,64.0092377737
520,4023.17236591,64.1395646195
525,4068.63448142,64.2713823041
530,4114.26101907,64.4105253931
535,4160.04533559,64.5498045818
540,4205.98266083,64.6774154231
545,4252.07025333,64.7973758701
550,4298.30502032,64.9141448036
555,4344.70454156,65.0324411774
560,4391.26700225,65.1555021028
565,4437.98411594,65.2838630369
570,4484.85165301,65.4034974693
575,4531.86501098,65.515235356
580,4579.02183017,65.6230346853
585,4626.31622975,65.7299787253
590,4673.74404677,65.8381807556
595,4721.31518159,65.9498678267
600,4769.03969315,66.0662727024
605,4816.906067,66.1765816268
610,4864.91409807,66.2809476295
615,4913.05977865,66.3813723592
620,4961.3404854,66.4796437682
625,5009.75295668,66.5775614646
630,5058.28907689,66.6771544034
635,5106.950813,66.7809904014
640,5155.7515283,66.8887966109
645,5204.69299769,66.9904622572
650,5253.7670072,67.086615147
655,5302.96977829,67.1788853459
660,5352.29702725,67.2689906454
665,5401.74747546,67.3589932399
670,5451.31910271,67.4512362217
675,5501.00644385,67.5473206527
680,5550.81032384,67.6480671984
685,5600.74084072,67.7447597975
690,5650.80424929,67.8356826048
695,5700.98977211,67.9225448472
700,5751.29636045,68.0074065802
705,5801.72316125,68.0919043458
710,5852.26800187,68.1771272496
715,5902.92863982,68.2640919405
720,5953.70038046,68.3538928596
725,6004.57851359,68.4472987521
730,6055.56537097,68.5370780598
735,6106.67721345,68.6225844287
740,6157.90962254,68.7052407125
745,6209.25619022,68.7858750413
750,6260.71550277,68.8653198249
755,6312.28764714,68.9445335283
760,6363.9696552,69.024560329
765,6415.75843957,69.1066052707
770,6467.65052954,69.1922483965
775,6519.64396648,69.2803662708
780,6571.73959797,69.3641977245
785,6623.95232383,69.444261508
790,6676.27897117,69.521364434
795,6728.71465736,69.596385437
800,6781.25492878,69.6702994813
805,6833.89999625,69.744323983
810,6886.65021897,69.8198241618
815,6939.50393056,69.8978180907
820,6992.45929066,69.9790162372
825,7045.51148156,70.0627720382
830,7098.66157227,70.1425459797
835,7151.91685654,70.2184799052
840,7205.28395829,70.2914443021
845,7258.75576558,70.3625594484
850,7312.32924882,70.4329970884
855,7366.00257119,70.5035868765
860,7419.77573545,70.5749328252
865,7473.64883029,70.6476210645
870,7527.62045459,70.7222848836
875,7581.68628332,70.799594204
880,7635.84162754,70.8777746167
885,7690.08795699,70.9521360642
890,7744.43679798,71.0237728609
895,7798.8903492,71.0934662397
900,7853.44374978,71.1617453832
905,7908.09485607,71.2291030056
910,7962.84116083,71.2960904494
915,8017.68176821,71.3633136692
920,8072.61437809,71.4314107017
925,8127.63927079,71.5010868996
930,8182.75472366,71.5732672955
935,8237.95867643,71.648308816
940,8293.25088024,71.7210718759
945,8348.63886956,71.7909786983
950,8404.12917193,71.8584427354
955,8459.71641462,71.9239520432
960,8515.39806594,71.9880506722
965,8571.16960828,72.0513176365
970,8627.0298583,72.1144021487
975,8682.97877265,72.1781396782
980,8739.01752053,72.2433695818
